a,delta,Tm,D_Tm,Hmix,σHmix,Sid,Elec_nega,D_elec_nega,VEC,d_VEC,BulkModulus,D_Bulk,Phase_inshort
1.2643,0.0613,1637.89,363.71,-18.8571,11.622,1.9459,1.8129,0.1158,7.2857,2.814,1.44E+11,37.9839,SS
1.2653,0.0386,1699.66,332.34,-1.701,5.6097,1.4976,1.8248,0.1104,8.5556,2.3307,1.59E+11,27.6218,SS
1.2662,0.1529,1530.35,580.06,-4.16,6.5336,0.8018,1.897,0.07,7.9,3.2078,1.65E+11,77.6356,IM
1.2664,0.022,1769.55,262.28,-2.24,5.6832,1.6094,1.83,0.1037,8.6,2.0591,1.66E+11,14.9666,SS
1.2673,0.046,1767.5,340.4,-9.0864,4.6003,1.5811,1.7967,0.1125,7.6667,2.1602,1.62E+11,31.3184,SS
1.2674,0.0327,1801.2,214.33,-4.16,2.1976,1.6094,1.766,0.1384,8,1.4142,1.62E+11,22.2711,SS
1.2684,0.042,1685.73,344.85,-2.5124,5.8185,1.5157,1.8209,0.1131,8.4545,2.4258,1.58E+11,29.5476,SS
1.2684,0.0437,1726.52,345.53,-4.6,5.4374,1.7481,1.807,0.1112,8,2.2804,1.60E+11,30.421,SS
1.2685,0.013,1321.18,63.38,-8.625,1.2449,0.5623,1.9275,0.0476,9.25,3.0311,1.05E+11,60.6218,IM
1.269166667,0.029966526,1727.295,256.1058605,1.444444444,3.868464886,1.791759469,1.788333333,0.135820552,8.5,1.707825128,1.58E+11,21.9215774,SS
1.269272727,0.041692079,1693.000909,346.0859229,-1.520661157,5.643485011,1.767761472,1.815454545,0.109325505,8.272727273,2.339032787,1.58E+11,29.54755237,SS
1.2709,0.0415,1710.19,351.71,-2.4992,5.8138,1.8577,1.8089,0.1127,8.1579,2.3752,1.58E+11,29.0273,SS
1.2713,0.0449,1672.3,355.98,-3.2653,5.9942,1.5299,1.8171,0.1155,8.3571,2.5102,1.56E+11,31.2229,SS
1.2724,0.0404,1863.01,162.27,-5.6,3.0633,1.6094,1.896,0.1749,8.6,1.4967,1.74E+11,8,SS
1.2728,0.03197742,1719.154,279.8403096,2.72,4.235582605,1.609437912,1.77,0.141844986,8.4,1.854723699,1.54E+11,21.54065923,SS
1.2732,0.0475,1689.92,336.34,-7.0313,5.4517,1.5747,1.8175,0.1082,8,2.2638,1.61E+11,33.8221,SS
1.2732,0.031789341,1636.754,171.8203075,1.76,3.595864291,1.609437912,1.814,0.134848063,9,1.414213562,1.58E+11,24,SS
1.2738,0.0315,1727.15,280.55,4.16,3.8405,1.6094,1.764,0.1363,8.2,1.7205,1.54E+11,21.5407,SS
1.274,0.0345,1798.75,239.56,-5.5,2.4686,1.3863,1.75,0.1505,8,1.5811,1.60E+11,24.4949,SS
1.2747,0.0488,1684.71,346.75,-7.2533,5.5991,1.6217,1.8133,0.1105,7.9333,2.3228,1.59E+11,34.5521,SS
1.2753,0.0506,1670.19,356.41,-8.449,5.9978,1.6682,1.815,0.1175,8.0714,2.5203,1.58E+11,35.3109,SS
1.2754,0.0358,1994.55,521.01,4.64,5.4523,1.6094,1.892,0.1612,8.2,2.0396,1.76E+11,30.0666,SS
1.276,0.0493,1701.7,343.01,-4.149,6.7937,1.8577,1.8058,0.1188,8.1228,2.4284,1.56E+11,30.3289,SS
